TiplocCode,StationName,Latitude,Longitude
SWANSEA,Swansea Rail Station,51.62514413300235,-3.941545944983893
ALNESS,Alness Rail Station,57.69439275586055,-4.249716151367327
STEPPS,Stepps Rail Station,55.89013493158881,-4.14080741413375
KNYMPTN,Kings Nympton Rail Station,50.936072366702675,-3.90541059813023
NWTL,Newton (S Lanarks) Rail Station,55.818776429757364,-4.133054635700295
MNTVRNN,Mount Vernon Rail Station,55.840200302359456,-4.133669054264453
IVRNESS,Inverness Rail Station,57.47986848459993,-4.223360888372273
GARROWH,Garrowhill Rail Station,55.85523692689001,-4.129460348205734
BALISTN,Baillieston Rail Station,55.84449951516455,-4.113698276434165
LANFRFC,Llanfairfechan Rail Station,53.25728570693447,-3.983202487040894
ESHS,Easterhouse Rail Station,55.859754760720776,-4.107176254473151
EGGESFD,Eggesford Rail Station,50.8877349935032,-3.8747450145492883
BLANTYR,Blantyre Rail Station,55.79732412098509,-4.0869706209598915
UDNGSTN,Uddingston Rail Station,55.82352630063159,-4.0866975223408675
DOVYJN,Dovey Junction Rail Station,52.56435719402855,-3.9239020310228283
LLNSMLT,Llansamlet Rail Station,51.66150090663582,-3.8846851271190577
LLGADOG,Llangadog Rail Station,51.9402113701817,-3.893146922777154
BLAENAU,Blaenau Ffestiniog Rail Station,52.99454673949252,-3.9385948208916903
GRTCSH,Gartcosh Rail Station,55.88565918370585,-4.079494007420664
BRGDDIE,Bargeddie Rail Station,55.851289814354125,-4.073807230087776
IVRGRD,Invergordon Rail Station,57.68901714859309,-4.174840241715173
HAMLTNW,Hamilton West Rail Station,55.77885827569344,-4.054808023781691
ROMANBG,Roman Bridge Rail Station,53.044413710659384,-3.921647840584745
LLWRDA,Llanwrda Rail Station,51.962585057379655,-3.8716737609670284
NWTM,Newtonmore Rail Station,57.05914419559877,-4.119108712144272
PNMNMWR,Penmaenmawr Rail Station,53.27046381101006,-3.9235107290373477
KRKWOOD,Kirkwood Rail Station,55.8541870073672,-4.048398134639167
HAMLTNC,Hamilton Central Rail Station,55.77319203108102,-4.038884708163929
BLAIRHL,Blairhill Rail Station,55.866449339566536,-4.0432901913356325
SKEWEN,Skewen Rail Station,51.66138818903672,-3.8465085965140458
ROGART,Rogart Rail Station,57.98871113341382,-4.1581848163643045
LAPFORD,Lapford Rail Station,50.85700084464043,-3.8106387253097993
COATBDC,Coatbridge Central Rail Station,55.86250403016713,-4.031896646737405
CROY,Croy Rail Station,55.955675863169475,-4.035975837984299
COATBDS,Coatbridge Sunnyside Rail Station,55.8668324006784,-4.028286979333992
BLSHL,Bellshill Rail Station,55.81706198367718,-4.024498963504889
KRKC,Kirkconnel Rail Station,55.38830182019222,-3.998500159606965
WHIFLET,Whifflet Rail Station,55.85369013551716,-4.018655021831846
DLWYDLN,Dolwyddelan Rail Station,53.05201074195079,-3.8851320592716374
BRITFRY,Briton Ferry Rail Station,51.63789427927708,-3.819252146257811
CHTLRT,Chatelherault Rail Station,55.765217258914916,-4.004674258315455
MCHYNLT,Machynlleth Rail Station,52.59513500526133,-3.8545273451020194
COATDYK,Coatdyke Rail Station,55.86433854475782,-4.004984261727783
BGLAN,Baglan Rail Station,51.61553905969847,-3.8111356549666615
MOCHARD,Morchard Road Rail Station,50.83189669660686,-3.7763657141331564
AIRBLES,Airbles Rail Station,55.78283162402853,-3.9941923221066093
MOTHRWL,Motherwell Rail Station,55.79167266590112,-3.9943251980304866
NEATH,Neath Rail Station,51.662359264745156,-3.807218867157899
PNYPANT,Pont-y-Pant Rail Station,53.06513024571475,-3.8627204804977917
GRNFLDS,Greenfaulds Rail Station,55.935231133123686,-3.9930998947530485
KGUSSIE,Kingussie Rail Station,57.07778032642317,-4.05219207323749
MRRYTON,Merryton Rail Station,55.74870503199902,-3.97825339128125
AIRDRIE,Airdrie Rail Station,55.8639773227463,-3.9829119450999553
LARKHAL,Larkhall Rail Station,55.738593839985064,-3.9755115249939172
LLDVERY,Llandovery Rail Station,51.99531078832679,-3.802828755452705
HOLYTWN,Holytown Rail Station,55.81289654773286,-3.973928794420836
CMBRNLD,Cumbernauld Rail Station,55.94202437053517,-3.980334212941658
COPLSTN,Copplestone Rail Station,50.81446481596682,-3.751571612437465
PTALBOT,Port Talbot Parkway Rail Station,51.59171630660945,-3.781314172383294
SHILDMR,Shieldmuir Rail Station,55.77748933601032,-3.956989736294666
CARFIN,Carfin Rail Station,55.8073375913217,-3.9562535555184417
DEGANWY,Deganwy Rail Station,53.29474583105097,-3.833386198280246
CONWY,Conwy Rail Station,53.280100093606876,-3.8305240969700267
DUNANE,Dunblane Rail Station,56.185888227477705,-3.965485870397292
SANQHAR,Sanquhar Rail Station,55.3701661376266,-3.9245192018347663
DRMGLCH,Drumgelloch Rail Station,55.867351927586526,-3.9488819819190115
TAIN,Tain Rail Station,57.81441823146443,-4.05204898953621
DOLGARG,Dolgarrog Rail Station,53.1863463724024,-3.8226360182935353
YEOFORD,Yeoford Rail Station,50.776922437245375,-3.7271190365021245
